00AI               20231227                                                                                   
0601AIA0N       20240101001265100000005000 0000000000001379   
0601AIA0N       20240101001270100000005000 0000000000001382   
0601AIA0N       20240101001275100000005000 0000000000001386   
0601AIA0N       20240101001280100000005000 0000000000001389   
0601AIA0N       20240101001285100000005000 0000000000001392   
0601AIA0N       20240101001290100000005000 0000000000001396   
0601AIA0N       20240101001295100000005000 0000000000001399   
0601AIA0N       20240101001300100000005000 0000000000001402   
0601AIA0N       20240101001305100000005000 0000000000001406   
0601AIA0N       20240101001310100000005000 0000000000001408   
0601AIA0N       20240101001315100000005000 0000000000001411   
0601AIA0N       20240101001320100000005000 0000000000001415   
0601AIA0N       20240101001325100000005000 0000000000001417   
0601AIA0N       20240101001330100000005000 0000000000001421   
0601AIA0N       20240101001335100000005000 0000000000001424   
0601AIA0N       20240101001340100000005000 0000000000001426   
0601AIA0N       20240101001345100000005000 0000000000001429   
0601AIA0N       20240101001350100000005000 0000000000001432   
0601AIA0N       20240101001355100000005000 0000000000001435   
0601AIA0N       20240101001360100000005000 0000000000001439   
0601AIA0N       20240101001365100000005000 0000000000001441   
0601AIA0N       20240101001370100000005000 0000000000001444   
0601AIA0N       20240101001375100000005000 0000000000001447   
0601AIA0N       20240101001380100000005000 0000000000001450   
0601AIA0N       20240101001385100000005000 0000000000001452   
0601AIA0N       20240101001390100000005000 0000000000001455   
0601AIA0N       20240101001395100000005000 0000000000001458   
0601AIA0N       20240101001400100000005000 0000000000001461   
0601AIA0N       20240101001405100000005000 0000000000001464   
0601AIA0N       20240101001410100000005000 0000000000001465   
0601AIA0N       20240101001415100000005000 0000000000001469   
0601AIA0N       20240101001420100000005000 0000000000001471   
0601AIA0N       20240101001425100000005000 0000000000001474   
0601AIA0N       20240101001430100000005000 0000000000001477   
0601AIA0N       20240101001435100000005000 0000000000001480   
0601AIA0N       20240101001440100000005000 0000000000001483   
0601AIA0N       20240101001445100000005000 0000000000001487   
0601AIA0N       20240101001450100000005000 0000000000001489   
0601AIA0N       20240101001455100000005000 0000000000001492   
0601AIA0N       20240101001460100000005000 0000000000001496   
0601AIA0N       20240101001465100000005000 0000000000001498   
0601AIA0N       20240101001470100000005000 0000000000001502   
0601AIA0N       20240101001475100000005000 0000000000001505   
0601AIA0N       20240101001480100000005000 0000000000001507   
0601AIA0N       20240101001485100000005000 0000000000001510   
0601AIA0N       20240101001490100000005000 0000000000001512   
0601AIA0N       20240101001495100000005000 0000000000001515   
0601AIA0N       20240101001500100000005000 0000000000001518   
0601AIA0N       20240101001505100000005000 0000000000001520   
0601AIA0N       20240101001510100000005000 0000000000001523   
0601AIA0N       20240101001515100000005000 0000000000001526   
0601AIA0N       20240101001520100000005000 0000000000001528   
0601AIA0N       20240101001525100000005000 0000000000001531   
0601AIA0N       20240101001530100000005000 0000000000001534   
0601AIA0N       20240101001535100000005000 0000000000001536   
0601AIA0N       20240101001540100000005000 0000000000001540   
0601AIA0N       20240101001545100000005000 0000000000001542   
0601AIA0N       20240101001550100000005000 0000000000001544   
0601AIA0N       20240101001555100000005000 0000000000001547   
0601AIA0N       20240101001560100000005000 0000000000001550   
0601AIA0N       20240101001565100000005000 0000000000001552   
0601AIA0N       20240101001570100000005000 0000000000001555   
0601AIA0N       20240101001575100000005000 0000000000001557   
0601AIA0N       20240101001580100000005000 0000000000001560   
0601AIA0N       20240101001585100000005000 0000000000001562   
0601AIA0N       20240101001590100000005000 0000000000001564   
0601AIA0N       20240101001595100000005000 0000000000001567   
0601AIA0N       20240101001600100000005000 0000000000001569   
0601AIA0N       20240101001605100000005000 0000000000001571   
0601AIA0N       20240101001610100000005000 0000000000001574   
0601AIA0N       20240101001615100000005000 0000000000001577   
0601AIA0N       20240101001620100000005000 0000000000001578   
0601AIA0N       20240101001625100000005000 0000000000001581   
0601AIA0N       20240101001630100000005000 0000000000001584   
0601AIA0N       20240101001635100000005000 0000000000001586   
0601AIA0N       20240101001640100000005000 0000000000001588   
0601AIA0N       20240101001645100000005000 0000000000001590   
0601AIA0N       20240101001650100000005000 0000000000001593   
0601AIA0N       20240101001655100000005000 0000000000001595   
0601AIA0N       20240101001660100000005000 0000000000001597   
0601AIA0N       20240101001665100000005000 0000000000001599   
0601AIA0N       20240101001670100000005000 0000000000001602   
0601AIA0N       20240101001675100000005000 0000000000001604   
0601AIA0N       20240101001680100000005000 0000000000001606   
0601AIA0N       20240101001685100000005000 0000000000001608   
0601AIA0N       20240101001690100000005000 0000000000001610   
0601AIA0N       20240101001695100000005000 0000000000001612   
0601AIA0N       20240101001700100000100000 0000000000001634   
0601AIA0N       20240101001800100000100000 0000000000001674   
0601AIA0N       20240101001900100000100000 0000000000001718   
0601AIA0N       20240101002000100000100000 0000000000001757   
0601AIA0N       20240101002100100000100000 0000000000001789   
0601AIA0N       20240101002200100000100000 0000000000001819   
0601AIA0N       20240101002300100000100000 0000000000001846   
0601AIA0N       20240101002400100000100000 0000000000001871   
0601AIA0N       20240101002500100000100000 0000000000001894   
0601AIA0N       20240101002600100000100000 0000000000001915   
0601AIA0N       20240101002700100000100000 0000000000001934   
0601AIA0N       20240101002800100000100000 0000000000001953   
0601AIA0N       20240101002900100000100000 0000000000001970   
0601AIA0N       20240101003000100000100000 0000000000001986   
0601AIA0N       20240101003100100000100000 0000000000002001   
0601AIA0N       20240101003200100000100000 0000000000002015   
0601AIA0N       20240101003300100000100000 0000000000002028   
0601AIA0N       20240101003400100000100000 0000000000002040   
0601AIA0N       20240101003500100000100000 0000000000002052   
0601AIA0N       20240101003600100000100000 0000000000002063   
0601AIA0N       20240101003700100000100000 0000000000002073   
0601AIA0N       20240101003800100000100000 0000000000002083   
0601AIA0N       20240101003900100000100000 0000000000002093   
0601AIA0N       20240101004000100000100000 0000000000002102   
0601AIA0N       20240101004100100000100000 0000000000002110   
0601AIA0N       20240101004200100000100000 0000000000002118   
