00AR               20221102                                                                                   
0601ARA0N       20230101001310100000005000 0000000030001687   
0601ARA0N       20230101001315100000005000 0000000030001691   
0601ARA0N       20230101001320100000005000 0000000030001695   
0601ARA0N       20230101001325100000005000 0000000030001698   
0601ARA0N       20230101001330100000005000 0000000030001702   
0601ARA0N       20230101001335100000005000 0000000030001704   
0601ARA0N       20230101001340100000005000 0000000030001708   
0601ARA0N       20230101001345100000005000 0000000030001712   
0601ARA0N       20230101001350100000005000 0000000030001714   
0601ARA0N       20230101001355100000005000 0000000030001718   
0601ARA0N       20230101001360100000005000 0000000030001722   
0601ARA0N       20230101001365100000005000 0000000030001724   
0601ARA0N       20230101001370100000005000 0000000030001727   
0601ARA0N       20230101001375100000005000 0000000030001731   
0601ARA0N       20230101001380100000005000 0000000030001734   
0601ARA0N       20230101001385100000005000 0000000030001737   
0601ARA0N       20230101001390100000005000 0000000030001741   
0601ARA0N       20230101001395100000005000 0000000030001743   
0601ARA0N       20230101001400100000005000 0000000030001746   
0601ARA0N       20230101001405100000005000 0000000030001750   
0601ARA0N       20230101001410100000005000 0000000030001753   
0601ARA0N       20230101001415100000005000 0000000030001756   
0601ARA0N       20230101001420100000005000 0000000030001759   
0601ARA0N       20230101001425100000005000 0000000030001764   
0601ARA0N       20230101001430100000005000 0000000030001767   
0601ARA0N       20230101001435100000005000 0000000030001770   
0601ARA0N       20230101001440100000005000 0000000030001775   
0601ARA0N       20230101001445100000005000 0000000030001778   
0601ARA0N       20230101001450100000005000 0000000030001780   
0601ARA0N       20230101001455100000005000 0000000030001785   
0601ARA0N       20230101001460100000005000 0000000030001788   
0601ARA0N       20230101001465100000005000 0000000030001791   
0601ARA0N       20230101001470100000005000 0000000030001795   
0601ARA0N       20230101001475100000005000 0000000030001798   
0601ARA0N       20230101001480100000005000 0000000030001801   
0601ARA0N       20230101001485100000005000 0000000030001805   
0601ARA0N       20230101001490100000005000 0000000030001808   
0601ARA0N       20230101001495100000005000 0000000030001811   
0601ARA0N       20230101001500100000005000 0000000030001815   
0601ARA0N       20230101001505100000005000 0000000030001818   
0601ARA0N       20230101001510100000005000 0000000030001821   
0601ARA0N       20230101001515100000005000 0000000030001825   
0601ARA0N       20230101001520100000005000 0000000030001828   
0601ARA0N       20230101001525100000005000 0000000030001830   
0601ARA0N       20230101001530100000005000 0000000030001834   
0601ARA0N       20230101001535100000005000 0000000030001837   
0601ARA0N       20230101001540100000005000 0000000030001840   
0601ARA0N       20230101001545100000005000 0000000030001844   
0601ARA0N       20230101001550100000005000 0000000030001846   
0601ARA0N       20230101001555100000005000 0000000030001849   
0601ARA0N       20230101001560100000005000 0000000030001853   
0601ARA0N       20230101001565100000005000 0000000030001856   
0601ARA0N       20230101001570100000005000 0000000030001858   
0601ARA0N       20230101001575100000005000 0000000030001861   
0601ARA0N       20230101001580100000005000 0000000030001865   
0601ARA0N       20230101001585100000005000 0000000030001867   
0601ARA0N       20230101001590100000005000 0000000030001869   
0601ARA0N       20230101001595100000005000 0000000030001873   
0601ARA0N       20230101001600100000005000 0000000030001876   
0601ARA0N       20230101001605100000005000 0000000030001878   
0601ARA0N       20230101001610100000005000 0000000030001882   
0601ARA0N       20230101001615100000005000 0000000030001884   
0601ARA0N       20230101001620100000005000 0000000030001887   
0601ARA0N       20230101001625100000005000 0000000030001890   
0601ARA0N       20230101001630100000005000 0000000030001893   
0601ARA0N       20230101001635100000005000 0000000030001895   
0601ARA0N       20230101001640100000005000 0000000030001898   
0601ARA0N       20230101001645100000005000 0000000030001901   
0601ARA0N       20230101001650100000005000 0000000030001903   
0601ARA0N       20230101001655100000005000 0000000030001907   
0601ARA0N       20230101001660100000005000 0000000030001909   
0601ARA0N       20230101001665100000005000 0000000030001912   
0601ARA0N       20230101001670100000005000 0000000030001915   
0601ARA0N       20230101001675100000005000 0000000030001917   
0601ARA0N       20230101001680100000005000 0000000030001919   
0601ARA0N       20230101001685100000005000 0000000030001923   
0601ARA0N       20230101001690100000005000 0000000030001925   
0601ARA0N       20230101001695100000005000 0000000030001927   
0601ARA0N       20230101001700100000005000 0000000030001930   
0601ARA0N       20230101001705100000005000 0000000030001932   
0601ARA0N       20230101001710100000005000 0000000030001934   
0601ARA0N       20230101001715100000005000 0000000030001937   
0601ARA0N       20230101001720100000005000 0000000030001940   
0601ARA0N       20230101001725100000005000 0000000030001942   
0601ARA0N       20230101001730100000005000 0000000030001944   
0601ARA0N       20230101001735100000005000 0000000030001948   
0601ARA0N       20230101001740100000005000 0000000030001949   
0601ARA0N       20230101001745100000005000 0000000030001951   
0601ARA0N       20230101001750100000005000 0000000030001955   
0601ARA0N       20230101001755100000005000 0000000030001957   
0601ARA0N       20230101001760100000005000 0000000030001959   
0601ARA0N       20230101001765100000005000 0000000030001962   
0601ARA0N       20230101001770100000005000 0000000030001964   
0601ARA0N       20230101001775100000005000 0000000030001966   
0601ARA0N       20230101001780100000005000 0000000030001969   
0601ARA0N       20230101001785100000005000 0000000030001971   
0601ARA0N       20230101001790100000005000 0000000030001973   
0601ARA0N       20230101001795100000005000 0000000030001976   
0601ARA0N       20230101001800100000005000 0000000030001978   
0601ARA0N       20230101001805100000005000 0000000030001980   
0601ARA0N       20230101001810100000005000 0000000030001983   
0601ARA0N       20230101001815100000005000 0000000030001985   
0601ARA0N       20230101001820100000005000 0000000030001988   
0601ARA0N       20230101001825100000005000 0000000030001991   
0601ARA0N       20230101001830100000005000 0000000030001993   
0601ARA0N       20230101001835100000005000 0000000030001996   
0601ARA0N       20230101001840100000005000 0000000030001999   
0601ARA0N       20230101001845100000005000 0000000030002001   
0601ARA0N       20230101001850100000005000 0000000030002004   
0601ARA0N       20230101001855100000005000 0000000030002007   
0601ARA0N       20230101001860100000005000 0000000030002010   
0601ARA0N       20230101001865100000005000 0000000030002012   
0601ARA0N       20230101001870100000005000 0000000030002014   
0601ARA0N       20230101001875100000005000 0000000030002017   
0601ARA0N       20230101001880100000005000 0000000030002020   
0601ARA0N       20230101001885100000005000 0000000030002022   
0601ARA0N       20230101001890100000005000 0000000030002025   
0601ARA0N       20230101001895100000005000 0000000030002027   
0601ARA0N       20230101001900100000005000 0000000030002029   
0601ARA0N       20230101001905100000005000 0000000030002033   
0601ARA0N       20230101001910100000005000 0000000030002035   
0601ARA0N       20230101001915100000005000 0000000030002037   
0601ARA0N       20230101001920100000005000 0000000030002040   
0601ARA0N       20230101001925100000005000 0000000030002042   
0601ARA0N       20230101001930100000005000 0000000030002044   
0601ARA0N       20230101001935100000005000 0000000030002047   
0601ARA0N       20230101001940100000005000 0000000030002050   
0601ARA0N       20230101001945100000005000 0000000030002052   
0601ARA0N       20230101001950100000005000 0000000030002055   
0601ARA0N       20230101001955100000005000 0000000030002057   
0601ARA0N       20230101001960100000005000 0000000030002059   
0601ARA0N       20230101001965100000005000 0000000030002062   
0601ARA0N       20230101001970100000005000 0000000030002064   
0601ARA0N       20230101001975100000005000 0000000030002066   
0601ARA0N       20230101001980100000005000 0000000030002069   
0601ARA0N       20230101001985100000005000 0000000030002071   
0601ARA0N       20230101001990100000005000 0000000030002073   
0601ARA0N       20230101001995100000005000 0000000030002076   
0601ARA0N       20230101002000100000005000 0000000030002078   
0601ARA0N       20230101002005100000005000 0000000030002080   
0601ARA0N       20230101002010100000005000 0000000030002082   
0601ARA0N       20230101002015100000005000 0000000030002085   
0601ARA0N       20230101002020100000005000 0000000030002087   
0601ARA0N       20230101002025100000005000 0000000030002089   
0601ARA0N       20230101002030100000005000 0000000030002091   
0601ARA0N       20230101002035100000005000 0000000030002093   
0601ARA0N       20230101002040100000005000 0000000030002096   
0601ARA0N       20230101002045100000005000 0000000030002098   
0601ARA0N       20230101002050100000005000 0000000030002100   
0601ARA0N       20230101002055100000005000 0000000030002102   
0601ARA0N       20230101002060100000005000 0000000030002105   
0601ARA0N       20230101002065100000005000 0000000030002106   
0601ARA0N       20230101002070100000005000 0000000030002108   
0601ARA0N       20230101002075100000005000 0000000030002111   
0601ARA0N       20230101002080100000005000 0000000030002113   
0601ARA0N       20230101002085100000005000 0000000030002115   
0601ARA0N       20230101002090100000005000 0000000030002117   
0601ARA0N       20230101002095100000005000 0000000030002119   
0601ARA0N       20230101002100100000005000 0000000030002121   
0601ARA0N       20230101002105100000005000 0000000030002123   
0601ARA0N       20230101002110100000005000 0000000030002125   
0601ARA0N       20230101002115100000005000 0000000030002127   
0601ARA0N       20230101002120100000005000 0000000030002130   
0601ARA0N       20230101002125100000005000 0000000030002132   
0601ARA0N       20230101002130100000005000 0000000030002133   
0601ARA0N       20230101002135100000005000 0000000030002136   
0601ARA0N       20230101002140100000005000 0000000030002137   
0601ARA0N       20230101002145100000005000 0000000030002139   
0601ARA0N       20230101002150100000005000 0000000030002141   
0601ARA0N       20230101002155100000005000 0000000030002143   
0601ARA0N       20230101002160100000005000 0000000030002145   
0601ARA0N       20230101002165100000005000 0000000030002147   
0601ARA0N       20230101002170100000005000 0000000030002149   
0601ARA0N       20230101002175100000005000 0000000030002151   
0601ARA0N       20230101002180100000005000 0000000030002153   
0601ARA0N       20230101002185100000005000 0000000030002155   
0601ARA0N       20230101002190100000005000 0000000030002156   
0601ARA0N       20230101002195100000005000 0000000030002158   
0601ARA0N       20230101002200100000005000 0000000030002161   
0601ARA0N       20230101002205100000005000 0000000030002162   
0601ARA0N       20230101002210100000005000 0000000030002164   
0601ARA0N       20230101002215100000005000 0000000030002166   
0601ARA0N       20230101002220100000005000 0000000030002168   
0601ARA0N       20230101002225100000005000 0000000030002169   
0601ARA0N       20230101002230100000005000 0000000030002172   
0601ARA0N       20230101002235100000005000 0000000030002173   
0601ARA0N       20230101002240100000005000 0000000030002175   
0601ARA0N       20230101002245100000005000 0000000030002178   
0601ARA0N       20230101002250100000005000 0000000030002179   
0601ARA0N       20230101002255100000005000 0000000030002180   
0601ARA0N       20230101002260100000005000 0000000030002183   
0601ARA0N       20230101002265100000005000 0000000030002184   
0601ARA0N       20230101002270100000005000 0000000030002186   
0601ARA0N       20230101002275100000005000 0000000030002188   
0601ARA0N       20230101002280100000005000 0000000030002190   
0601ARA0N       20230101002285100000005000 0000000030002191   
0601ARA0N       20230101002290100000005000 0000000030002193   
0601ARA0N       20230101002295100000005000 0000000030002195   
0601ARA0N       20230101002300100000005000 0000000030002196   
0601ARA0N       20230101002305100000005000 0000000030002198   
0601ARA0N       20230101002310100000005000 0000000030002200   
0601ARA0N       20230101002315100000005000 0000000030002202   
0601ARA0N       20230101002320100000005000 0000000030002203   
0601ARA0N       20230101002325100000005000 0000000030002205   
0601ARA0N       20230101002330100000005000 0000000030002207   
0601ARA0N       20230101002335100000005000 0000000030002208   
0601ARA0N       20230101002340100000005000 0000000030002210   
0601ARA0N       20230101002345100000005000 0000000030002211   
0601ARA0N       20230101002350100000005000 0000000030002213   
0601ARA0N       20230101002355100000005000 0000000030002215   
0601ARA0N       20230101002360100000005000 0000000030002216   
0601ARA0N       20230101002365100000005000 0000000030002218   
0601ARA0N       20230101002370100000005000 0000000030002220   
0601ARA0N       20230101002375100000005000 0000000030002221   
0601ARA0N       20230101002380100000005000 0000000030002223   
0601ARA0N       20230101002385100000005000 0000000030002225   
0601ARA0N       20230101002390100000005000 0000000030002226   
0601ARA0N       20230101002395100000005000 0000000030002227   
0601ARA0N       20230101002400100000005000 0000000030002230   
0601ARA0N       20230101002405100000005000 0000000030002231   
0601ARA0N       20230101002410100000005000 0000000030002232   
0601ARA0N       20230101002415100000005000 0000000030002234   
0601ARA0N       20230101002420100000005000 0000000030002236   
0601ARA0N       20230101002425100000005000 0000000030002237   
0601ARA0N       20230101002430100000005000 0000000030002239   
0601ARA0N       20230101002435100000005000 0000000030002241   
0601ARA0N       20230101002440100000005000 0000000030002242   
0601ARA0N       20230101002445100000005000 0000000030002243   
0601ARA0N       20230101002450100000005000 0000000030002245   
0601ARA0N       20230101002455100000005000 0000000030002246   
0601ARA0N       20230101002460100000005000 0000000030002247   
0601ARA0N       20230101002465100000005000 0000000030002248   
0601ARA0N       20230101002470100000005000 0000000030002250   
0601ARA0N       20230101002475100000005000 0000000030002250   
0601ARA0N       20230101002480100000005000 0000000030002252   
0601ARA0N       20230101002485100000005000 0000000030002253   
0601ARA0N       20230101002490100000005000 0000000030002254   
0601ARA0N       20230101002495100000005000 0000000030002255   
0601ARA0N       20230101002500100000100000 0000000030002267   
0601ARA0N       20230101002600100000100000 0000000030002287   
0601ARA0N       20230101002700100000100000 0000000030002305   
0601ARA0N       20230101002800100000100000 0000000030002322   
0601ARA0N       20230101002900100000100000 0000000030002338   
0601ARA0N       20230101003000100000100000 0000000030002354   
0601ARA0N       20230101003100100000100000 0000000030002368   
0601ARA0N       20230101003200100000100000 0000000030002381   
0601ARA0N       20230101003300100000100000 0000000030002393   
0601ARA0N       20230101003400100000100000 0000000030002405   
0601ARA0N       20230101003500100000100000 0000000030002416   
0601ARA0N       20230101003600100000100000 0000000030002427   
0601ARA0N       20230101003700100000100000 0000000030002437   
0601ARA0N       20230101003800100000100000 0000000030002446   
0601ARA0N       20230101003900100000100000 0000000030002455   
0601ARA0N       20230101004000100000100000 0000000030002464   
0601ARA0N       20230101004100100000100000 0000000030002472   
0601ARA0N       20230101004200100000100000 0000000030002480   
0601ARA0N       20230101004300100000100000 0000000030002487   
0601ARA0N       20230101004400100000100000 0000000030002494   
0601ARA0N       20230101004500100000100000 0000000030002501   
0601ARA0N       20230101004600100000100000 0000000030002507   
0601ARA0N       20230101004700100000100000 0000000030002513   
0601ARA0N       20230101004800100000100000 0000000030002519   
0601ARA0N       20230101004900100000100000 0000000030002525   
0601ARA0N       20230101005000100000100000 0000000030002530   
0601ARA0N       20230101005100100000100000 0000000030002536   
0601ARA0N       20230101005200100000100000 0000000030002540   
0601ARA0N       20230101005300100000100000 0000000030002545   
0601ARA0N       20230101005400100000100000 0000000030002550   
0601ARA0N       20230101005500100000100000 0000000030002555   
0601ARA0N       20230101005600100000100000 0000000030002559   
0601ARA0N       20230101005700100000100000 0000000030002563   
0601ARA0N       20230101005800100000100000 0000000030002567   
0601ARA0N       20230101005900100000100000 0000000030002571   
0601ARA0N       20230101006000100000100000 0000000030002575   
0601ARA0N       20230101006100100000100000 0000000030002578   
0601ARA0N       20230101006200100000100000 0000000030002582   
0601ARA0N       20230101006300100000100000 0000000030002585   
0601ARA0N       20230101006400100000100000 0000000030002589   
0601ARA0N       20230101006500100000100000 0000000030002592   
0601ARA0N       20230101006600100000100000 0000000030002595   
0601ARA0N       20230101006700100000100000 0000000030002598   
0601ARA0N       20230101006800100000100000 0000000030002601   
0601ARA0N       20230101006900100000100000 0000000030002604   
0601ARA0N       20230101007000100000100000 0000000030002607   
0601ARA0N       20230101007100100000100000 0000000030002609   
0601ARA0N       20230101007200100000100000 0000000030002612   
0601ARA0N       20230101007300100000100000 0000000030002614   
0601ARA0N       20230101007400100000100000 0000000030002616   
0601ARA0N       20230101007500100000100000 0000000030002616   
0601ARA0N       20230101007600100000100000 0000000030002617   
0601ARA0N       20230101007700100000100000 0000000030002617   
0601ARA0N       20230101007800100000100000 0000000030002617   
0601ARA0N       20230101007900100000100000 0000000030002618   
0601ARA0N       20230101008000100000100000 0000000030002618   
0601ARA0N       20230101008100100000100000 0000000030002619   
0601ARA0N       20230101008200100000100000 0000000030002619   
