00GL               20231116                                                                                   
0601GLA0N       20240101002105100000005000 0000000104002036   
0601GLA0N       20240101002110100000005000 0000000104002038   
0601GLA0N       20240101002115100000005000 0000000104002040   
0601GLA0N       20240101002120100000005000 0000000104002043   
0601GLA0N       20240101002125100000005000 0000000104002045   
0601GLA0N       20240101002130100000005000 0000000104002047   
0601GLA0N       20240101002135100000005000 0000000104002050   
0601GLA0N       20240101002140100000005000 0000000104002052   
0601GLA0N       20240101002145100000005000 0000000104002054   
0601GLA0N       20240101002150100000005000 0000000104002056   
0601GLA0N       20240101002155100000005000 0000000104002059   
0601GLA0N       20240101002160100000005000 0000000104002061   
0601GLA0N       20240101002165100000005000 0000000104002063   
0601GLA0N       20240101002170100000005000 0000000104002066   
0601GLA0N       20240101002175100000005000 0000000104002068   
0601GLA0N       20240101002180100000005000 0000000104002069   
0601GLA0N       20240101002185100000005000 0000000104002072   
0601GLA0N       20240101002190100000005000 0000000104002074   
0601GLA0N       20240101002195100000005000 0000000104002076   
0601GLA0N       20240101002200100000005000 0000000104002079   
0601GLA0N       20240101002205100000005000 0000000104002081   
0601GLA0N       20240101002210100000005000 0000000104002082   
0601GLA0N       20240101002215100000005000 0000000104002085   
0601GLA0N       20240101002220100000005000 0000000104002087   
0601GLA0N       20240101002225100000005000 0000000104002089   
0601GLA0N       20240101002230100000005000 0000000104002092   
0601GLA0N       20240101002235100000005000 0000000104002093   
0601GLA0N       20240101002240100000005000 0000000104002095   
0601GLA0N       20240101002245100000005000 0000000104002098   
0601GLA0N       20240101002250100000005000 0000000104002100   
0601GLA0N       20240101002255100000005000 0000000104002101   
0601GLA0N       20240101002260100000005000 0000000104002104   
0601GLA0N       20240101002265100000005000 0000000104002106   
0601GLA0N       20240101002270100000005000 0000000104002108   
0601GLA0N       20240101002275100000005000 0000000104002111   
0601GLA0N       20240101002280100000005000 0000000104002112   
0601GLA0N       20240101002285100000005000 0000000104002114   
0601GLA0N       20240101002290100000005000 0000000104002116   
0601GLA0N       20240101002295100000005000 0000000104002118   
0601GLA0N       20240101002300100000005000 0000000104002120   
0601GLA0N       20240101002305100000005000 0000000104002121   
0601GLA0N       20240101002310100000005000 0000000104002124   
0601GLA0N       20240101002315100000005000 0000000104002126   
0601GLA0N       20240101002320100000005000 0000000104002127   
0601GLA0N       20240101002325100000005000 0000000104002130   
0601GLA0N       20240101002330100000005000 0000000104002132   
0601GLA0N       20240101002335100000005000 0000000104002133   
0601GLA0N       20240101002340100000005000 0000000104002136   
0601GLA0N       20240101002345100000005000 0000000104002138   
0601GLA0N       20240101002350100000005000 0000000104002139   
0601GLA0N       20240101002355100000005000 0000000104002142   
0601GLA0N       20240101002360100000005000 0000000104002143   
0601GLA0N       20240101002365100000005000 0000000104002145   
0601GLA0N       20240101002370100000005000 0000000104002148   
0601GLA0N       20240101002375100000005000 0000000104002149   
0601GLA0N       20240101002380100000005000 0000000104002150   
0601GLA0N       20240101002385100000005000 0000000104002153   
0601GLA0N       20240101002390100000005000 0000000104002155   
0601GLA0N       20240101002395100000005000 0000000104002156   
0601GLA0N       20240101002400100000005000 0000000104002159   
0601GLA0N       20240101002405100000005000 0000000104002160   
0601GLA0N       20240101002410100000005000 0000000104002161   
0601GLA0N       20240101002415100000005000 0000000104002164   
0601GLA0N       20240101002420100000005000 0000000104002166   
0601GLA0N       20240101002425100000005000 0000000104002167   
0601GLA0N       20240101002430100000005000 0000000104002169   
0601GLA0N       20240101002435100000005000 0000000104002171   
0601GLA0N       20240101002440100000005000 0000000104002172   
0601GLA0N       20240101002445100000005000 0000000104002174   
0601GLA0N       20240101002450100000005000 0000000104002176   
0601GLA0N       20240101002455100000005000 0000000104002177   
0601GLA0N       20240101002460100000005000 0000000104002179   
0601GLA0N       20240101002465100000005000 0000000104002182   
0601GLA0N       20240101002470100000005000 0000000104002183   
0601GLA0N       20240101002475100000005000 0000000104002184   
0601GLA0N       20240101002480100000005000 0000000104002187   
0601GLA0N       20240101002485100000005000 0000000104002188   
0601GLA0N       20240101002490100000005000 0000000104002189   
0601GLA0N       20240101002495100000005000 0000000104002192   
0601GLA0N       20240101002500100000005000 0000000104002193   
0601GLA0N       20240101002505100000005000 0000000104002194   
0601GLA0N       20240101002510100000005000 0000000104002197   
0601GLA0N       20240101002515100000005000 0000000104002198   
0601GLA0N       20240101002520100000005000 0000000104002200   
0601GLA0N       20240101002525100000005000 0000000104002203   
0601GLA0N       20240101002530100000005000 0000000104002204   
0601GLA0N       20240101002535100000005000 0000000104002206   
0601GLA0N       20240101002540100000005000 0000000104002208   
0601GLA0N       20240101002545100000005000 0000000104002210   
0601GLA0N       20240101002550100000005000 0000000104002212   
0601GLA0N       20240101002555100000005000 0000000104002214   
0601GLA0N       20240101002560100000005000 0000000104002216   
0601GLA0N       20240101002565100000005000 0000000104002217   
0601GLA0N       20240101002570100000005000 0000000104002220   
0601GLA0N       20240101002575100000005000 0000000104002222   
0601GLA0N       20240101002580100000005000 0000000104002223   
0601GLA0N       20240101002585100000005000 0000000104002226   
0601GLA0N       20240101002590100000005000 0000000104002227   
0601GLA0N       20240101002595100000005000 0000000104002229   
0601GLA0N       20240101002600100000005000 0000000104002230   
0601GLA0N       20240101002605100000005000 0000000104002233   
0601GLA0N       20240101002610100000005000 0000000104002234   
0601GLA0N       20240101002615100000005000 0000000104002236   
0601GLA0N       20240101002620100000005000 0000000104002238   
0601GLA0N       20240101002625100000005000 0000000104002240   
0601GLA0N       20240101002630100000005000 0000000104002241   
0601GLA0N       20240101002635100000005000 0000000104002244   
0601GLA0N       20240101002640100000005000 0000000104002245   
0601GLA0N       20240101002645100000005000 0000000104002247   
0601GLA0N       20240101002650100000005000 0000000104002249   
0601GLA0N       20240101002655100000005000 0000000104002251   
