00GE               20231025                                                                                   
0601GEA0N       20240101001800000000005000 0000000000002432   
0601GEA0N       20240101001805000000005000 0000000000002435   
0601GEA0N       20240101001810000000005000 0000000000002439   
0601GEA0N       20240101001815000000005000 0000000000002442   
0601GEA0N       20240101001820000000005000 0000000000002444   
0601GEA0N       20240101001825000000005000 0000000000002448   
0601GEA0N       20240101001830000000005000 0000000000002450   
0601GEA0N       20240101001835000000005000 0000000000002453   
0601GEA0N       20240101001840000000005000 0000000000002457   
0601GEA0N       20240101001845000000005000 0000000000002460   
0601GEA0N       20240101001850000000005000 0000000000002463   
0601GEA0N       20240101001855000000005000 0000000000002467   
0601GEA0N       20240101001860000000005000 0000000000002470   
0601GEA0N       20240101001865000000005000 0000000000002474   
0601GEA0N       20240101001870000000005000 0000000000002477   
0601GEA0N       20240101001875000000005000 0000000000002480   
0601GEA0N       20240101001880000000005000 0000000000002484   
0601GEA0N       20240101001885000000005000 0000000000002487   
0601GEA0N       20240101001890000000005000 0000000000002490   
0601GEA0N       20240101001895000000005000 0000000000002493   
0601GEA0N       20240101001900000000005000 0000000000002497   
0601GEA0N       20240101001905000000005000 0000000000002500   
0601GEA0N       20240101001910000000005000 0000000000002503   
0601GEA0N       20240101001915000000005000 0000000000002506   
0601GEA0N       20240101001920000000005000 0000000000002510   
0601GEA0N       20240101001925000000005000 0000000000002513   
0601GEA0N       20240101001930000000005000 0000000000002517   
0601GEA0N       20240101001935000000005000 0000000000002520   
0601GEA0N       20240101001940000000005000 0000000000002523   
0601GEA0N       20240101001945000000005000 0000000000002526   
0601GEA0N       20240101001950000000005000 0000000000002530   
0601GEA0N       20240101001955000000005000 0000000000002533   
0601GEA0N       20240101001960000000005000 0000000000002536   
0601GEA0N       20240101001965000000010000 0000000000002541   
0601GEA0N       20240101001975000000010000 0000000000002548   
0601GEA0N       20240101001985000000010000 0000000000002554   
0601GEA0N       20240101001995000000010000 0000000000002560   
0601GEA0N       20240101002005000000010000 0000000000002566   
0601GEA0N       20240101002015000000010000 0000000000002573   
0601GEA0N       20240101002025000000010000 0000000000002578   
0601GEA0N       20240101002035000000010000 0000000000002585   
0601GEA0N       20240101002045000000010000 0000000000002590   
0601GEA0N       20240101002055000000010000 0000000000002596   
0601GEA0N       20240101002065000000010000 0000000000002602   
0601GEA0N       20240101002075000000010000 0000000000002608   
0601GEA0N       20240101002085000000010000 0000000000002614   
0601GEA0N       20240101002095000000010000 0000000000002619   
0601GEA0N       20240101002105000000010000 0000000000002625   
0601GEA0N       20240101002115000000010000 0000000000002630   
0601GEA0N       20240101002125000000010000 0000000000002636   
0601GEA0N       20240101002135000000010000 0000000000002641   
0601GEA0N       20240101002145000000010000 0000000000002647   
0601GEA0N       20240101002155000000010000 0000000000002652   
0601GEA0N       20240101002165000000010000 0000000000002657   
0601GEA0N       20240101002175000000010000 0000000000002663   
0601GEA0N       20240101002185000000010000 0000000000002668   
0601GEA0N       20240101002195000000010000 0000000000002673   
0601GEA0N       20240101002205000000010000 0000000000002678   
0601GEA0N       20240101002215000000010000 0000000000002683   
0601GEA0N       20240101002225000000010000 0000000000002688   
0601GEA0N       20240101002235000000010000 0000000000002693   
0601GEA0N       20240101002245000000010000 0000000000002698   
0601GEA0N       20240101002255000000010000 0000000000002703   
0601GEA0N       20240101002265000000010000 0000000000002708   
0601GEA0N       20240101002275000000010000 0000000000002713   
0601GEA0N       20240101002285000000010000 0000000000002717   
0601GEA0N       20240101002295000000010000 0000000000002722   
0601GEA0N       20240101002305000000010000 0000000000002727   
0601GEA0N       20240101002315000000010000 0000000000002732   
0601GEA0N       20240101002325000000010000 0000000000002736   
0601GEA0N       20240101002335000000010000 0000000000002741   
0601GEA0N       20240101002345000000010000 0000000000002745   
0601GEA0N       20240101002355000000010000 0000000000002749   
0601GEA0N       20240101002365000000010000 0000000000002754   
0601GEA0N       20240101002375000000010000 0000000000002759   
0601GEA0N       20240101002385000000010000 0000000000002763   
0601GEA0N       20240101002395000000010000 0000000000002767   
0601GEA0N       20240101002405000000010000 0000000000002771   
0601GEA0N       20240101002415000000010000 0000000000002776   
0601GEA0N       20240101002425000000010000 0000000000002780   
0601GEA0N       20240101002435000000010000 0000000000002784   
0601GEA0N       20240101002445000000010000 0000000000002788   
0601GEA0N       20240101002455000000010000 0000000000002792   
0601GEA0N       20240101002465000000010000 0000000000002796   
0601GEA0N       20240101002475000000010000 0000000000002800   
0601GEA0N       20240101002485000000010000 0000000000002805   
0601GEA0N       20240101002495000000010000 0000000000002808   
0601GEA0N       20240101002505000000010000 0000000000002812   
0601GEA0N       20240101002515000000010000 0000000000002817   
0601GEA0N       20240101002525000000010000 0000000000002820   
0601GEA0N       20240101002535000000010000 0000000000002824   
0601GEA0N       20240101002545000000010000 0000000000002828   
0601GEA0N       20240101002555000000010000 0000000000002832   
0601GEA0N       20240101002565000000010000 0000000000002836   
0601GEA0N       20240101002575000000010000 0000000000002839   
0601GEA0N       20240101002585000000010000 0000000000002843   
0601GEA0N       20240101002595000000010000 0000000000002847   
0601GEA0N       20240101002605000000010000 0000000000002850   
0601GEA0N       20240101002615000000010000 0000000000002854   
0601GEA0N       20240101002625000000010000 0000000000002858   
0601GEA0N       20240101002635000000010000 0000000000002861   
0601GEA0N       20240101002645000000010000 0000000000002865   
0601GEA0N       20240101002655000000010000 0000000000002868   
0601GEA0N       20240101002665000000010000 0000000000002872   
0601GEA0N       20240101002675000000010000 0000000000002875   
0601GEA0N       20240101002685000000010000 0000000000002879   
0601GEA0N       20240101002695000000010000 0000000000002883   
0601GEA0N       20240101002705000000010000 0000000000002886   
